country_name,year,recycling_rate,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,total_environm_tax_per_capita,pollut_environm_tax_per_capita,gr_val_add_per_capita,priv_inv_per_capita
Poland,2016,34.8,59.6,59.4,58.0,73.8,47.3,40.8,13026.1858988718,60.2402284228997,73.3007,11.3,80476000.0,37970087.0,18.2752041844413,0.651506066322327,84.8600006103516,7770.57397690354,304.3622207133737,15.669703364124501,211.50860149464498,63.681708182549066
Poland,2017,33.8,63.0,62.6,56.7,82.2,34.7,32.4,13695.6452848724,60.145888199417,75.9854,11.1,83804000.0,37974826.0,16.8858634359557,0.550776779651642,87.7799987792969,8240.76482386364,329.4840639954479,14.722384771427262,232.81212664410893,75.76071579630148
Poland,2018,34.3,61.8,75.5,58.7,88.2,35.7,29.1,14551.0850277089,60.0533306480907,77.5417,15.1,85946000.0,37974750.0,16.4851063076839,0.546892523765564,87.7799987792969,8640.9089620632,354.82419239099664,14.181528515658432,243.9515730847471,105.96514789432452
Poland,2019,34.1,69.1,86.2,58.2,82.7,36.4,27.9,15221.3090624454,59.9626184068963,80.4359,15.6,88515000.0,37965475.0,16.6614878848919,0.512824833393097,87.7799987792969,8923.43262932892,356.78389378771107,15.083440942066444,271.3254608298724,114.7094827603237
Poland,2020,38.7,69.3,91.06666666666666,60.13333333333333,86.10000000000001,39.699999999999996,26.0,15090.2228440113,59.8738141138092,83.1849,16.1,88515000.0,37515748.0,16.2083685829628,0.324195116758347,87.7799987792969,8738.29686674556,355.32838103081406,17.674444342679774,273.61842818647784,87.05677413122618
Poland,2021,40.3,69.5,95.93333333333334,62.06666666666667,89.5,43.0,24.099999999999998,16368.6239689025,59.8096513205543,85.3749,15.2,88515000.0,36981559.0,17.3006156636927,0.254306375980377,87.7799987792969,9414.07100094074,452.52500036572286,14.126770588551985,302.3128365140042,107.56712555033172
Poland,2022,40.9,69.7,100.8,64.0,92.9,46.3,22.2,17303.64494323,59.8315488048321,86.9411,15.2,88515000.0,36821749.0,17.6513214118709,0.258881956338882,87.7799987792969,9942.08535508807,497.6518089893014,15.780890799076383,284.36997927502034,111.23860520585266
Poland,2023,27.6,67.5,83.2,67.4,98.9,46.3,30.7,17410.3830137066,59.8859561370214,86.4147,15.2,88515000.0,36687353.0,17.4578672165103,0.421437799930573,87.7799987792969,9953.38829585846,522.8286706865987,18.549716573992132,295.2516089127499,116.74322756400551
Poland,2024,,,,,,,,18000.5034591285,59.9705468695101,88.585,15.2,88515000.0,36559233.0,16.0769928111431,0.421437799930573,87.7799987792969,10287.8789911905,,,,
Portugal,1995,,,,,,,,,,,,,,,,,,,,,
Portugal,1996,,,,,,,,,,,,,,,,,,,,,
Portugal,1997,,,,,,,,,,,,,,,,,,,,,
Portugal,1998,,,,,,,,,,,,,,,,,,,,,
Portugal,1999,,,,,,,,,,,,,,,,,,,,,
Portugal,2000,10.5,,,,,,,18822.0933092937,54.4051635389142,16.4305,20.1,12097000.0,10289898.0,15.0493373233829,0.972350239753723,15.7700004577637,12035.9366948089,324.64558929544296,0.1020418278198676,,
Portugal,2001,11.9,,,,,,,19053.089945659,55.0679833009212,18.0871,20.8,12167000.0,10362722.0,14.6778646135093,1.0623506307601915,16.4300003051758,12057.714280473,370.7317440340482,0.09939473431787517,,
Portugal,2002,7.6,,,,,,,19095.1102477398,55.789299869679,19.37,18.3,11644000.0,10419631.0,14.1946649466386,1.15235102176666,16.7399997711182,12145.702959931,409.2428992926909,0.10844913797811075,,
Portugal,2003,10.9,,,,,,,18846.5411893632,56.5865509520713,29.67,22.1,11707000.0,10458821.0,13.4763371418783,1.1067943572998,18.4400005340576,12061.591216932,411.98142696963646,0.5688977753802269,,
Portugal,2004,13.5,,,,,,,19137.8370898949,57.4171857647664,31.78,19.9,10639000.0,10483861.0,13.0527122559748,1.04428017139435,20.3299999237061,12340.3807093418,428.04268389289024,0.7239699190975538,,
Portugal,2005,15.2,,,,,,,19251.71450683,58.2450763389585,34.99,18.1,10612000.0,10503330.0,12.5667765338143,1.05113351345062,21.3400001525879,12511.7122101132,436.4453939845744,0.7664236008960968,206.50593668865017,136.33771384884602
Portugal,2006,15.9,,,,,,,19529.3122100477,59.0340947058419,38.01,22.3,11282000.0,10522288.0,12.3431980695303,0.867630779743195,22.4099998474121,12678.605834544,441.0951306407884,0.9085476466715224,210.88569330168497,140.8438925070289
Portugal,2007,17.1,,,,,,,19979.5706280792,59.7481128966109,42.09,23.1,6788000.0,10542964.0,12.2436332311567,0.894493699073792,22.2900009155273,12971.2636249786,457.11907960607664,0.840370886213782,215.0249208856257,152.13937940032804
Portugal,2008,17.3,,,,,,,20014.4749330004,60.3510029424595,44.13,23.2,6962000.0,10558177.0,11.9016527163808,1.0773845911026,22.7999992370606,13130.2270577589,424.67937410028264,1.331669283437851,257.3360912589361,230.72164825423934
Portugal,2009,19.5,,,,,,,19371.1318876855,60.8066368745822,48.27,24.9,6439000.0,10568247.0,11.1331653600968,1.15220522880554,24.0599994659424,12814.4377926228,404.5770315549968,2.045750823197073,256.90164130342527,154.04636170975186
Portugal,2010,18.7,,,,,,,19698.6836791397,61.0788867241731,53.3,27.8,6756000.0,10573100.0,11.5851680952185,0.981475114822388,25.6000003814697,13110.2729971664,412.5176154580965,3.2885341101474497,263.5934588720432,148.11171747169703
